month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate,miss_rate,seed
2026-05,0.13330054833545787,10.048747560642374,11.482780371915982,-0.0950269055650087,32.2,12,14.259335126106066,-9.50269055650087,2C_miss0.05_seed3,2C,0.05,3
2026-06,0.37550061713737376,11.481632151290777,16.71571293516717,-0.2113058144879908,54.7,12,45.57199906086882,-21.13058144879908,2C_miss0.05_seed3,2C,0.05,3
2025-01,0.06539707697736687,0.9999000049998333,1.0675828528046503,-0.1755076110748066,50.2,12,6.758285280465026,-17.55076110748066,2C_miss0.10_seed1,2C,0.1,1
2025-02,0.1025146992509897,1.067476099857106,1.1828322521219237,-0.06810101768112953,20.3,13,10.795358787798182,-6.810101768112952,2C_miss0.10_seed1,2C,0.1,1
2025-03,0.3469266396686062,1.18239183472781,1.6733680902690986,-0.28832514363126105,64.9,9,41.47129377535877,-28.832514363126105,2C_miss0.10_seed1,2C,0.1,1
2025-04,0.026403518404311543,1.6732007618266334,1.7181393539014371,-0.31502828101082647,80.0,16,2.6755179504551307,-31.50282810108265,2C_miss0.10_seed1,2C,0.1,1
2025-05,0.1684336157148588,1.7179675485564574,2.033331437261005,-0.19768046267144967,48.0,12,18.34496617773469,-19.768046267144967,2C_miss0.10_seed1,2C,0.1,1
2025-06,0.11881987184164253,2.0331281142835973,2.289870857469404,-0.18267578206542012,48.0,12,12.616704562143077,-18.267578206542012,2C_miss0.10_seed1,2C,0.1,1
2025-07,0.05606228089371504,2.2896418818326296,2.421912949121488,-0.07525493122970306,32.4,14,5.766355391675093,-7.525493122970306,2C_miss0.10_seed1,2C,0.1,1
2025-08,0.08838753173681377,2.4216707699357367,2.6457252768956643,-0.09722674102696938,32.2,12,9.241138409015083,-9.722674102696939,2C_miss0.10_seed1,2C,0.1,1
2025-09,0.05976242129193255,2.64546071759616,2.8086604339375723,-0.10192151979435915,32.2,12,6.1584306755040785,-10.192151979435915,2C_miss0.10_seed1,2C,0.1,1
2025-10,0.11455863610631321,2.8083795819370123,3.149571122203247,-0.16468621952538975,51.9,16,12.137839239887672,-16.468621952538975,2C_miss0.10_seed1,2C,0.1,1
2025-11,0.20004930992724415,3.1492561808383575,3.8470845504629922,-0.10706741722250268,36.2,14,22.146298692623635,-10.706741722250268,2C_miss0.10_seed1,2C,0.1,1
2025-12,0.17030175358101537,3.846699861242728,4.5613441753963615,-0.11251118499351631,32.2,12,18.56625752733738,-11.25111849935163,2C_miss0.10_seed1,2C,0.1,1
2026-01,0.10808139806031242,4.560888063784782,5.08196884010296,-0.21374700819682413,68.1,11,11.413843040277971,-21.374700819682413,2C_miss0.10_seed1,2C,0.1,1
2026-02,0.2469777398657409,5.038158218387042,6.505685541844382,-0.24495471560282034,60.1,11,28.01506161365146,-24.495471560282034,2C_miss0.10_seed1,2C,0.1,1
2026-03,0.21159142425227107,6.505685541844382,8.038704332844674,-0.29301994515441177,36.0,12,23.56429281956465,-29.301994515441177,2C_miss0.10_seed1,2C,0.1,1
2026-04,0.18870859226203696,8.037900502603568,9.708254566230293,-0.11309393414198488,36.0,12,20.76889712890846,-11.309393414198487,2C_miss0.10_seed1,2C,0.1,1
2026-05,0.14400960703467716,9.707283789313323,11.212016633768986,-0.09141184803108238,32.2,12,15.489520358988763,-9.141184803108239,2C_miss0.10_seed1,2C,0.1,1
2026-06,0.35199364113226966,11.210895488163821,15.94236064394564,-0.20811672208996268,54.7,12,42.1899482019098,-20.811672208996267,2C_miss0.10_seed1,2C,0.1,1
2025-01,0.043484111904502035,0.9999000049998333,1.0444433999637195,-0.18026864351506577,50.2,12,4.444339996371949,-18.02686435150658,2C_miss0.10_seed2,2C,0.1,2
2025-02,0.1025146992509897,1.0443389608457658,1.157194812325281,-0.08658299572446326,20.3,13,10.795358787798182,-8.658299572446326,2C_miss0.10_seed2,2C,0.1,2
2025-03,0.34854514671692954,1.1567639408109036,1.639750273314723,-0.28832514363126105,65.9,11,41.7004514581075,-28.832514363126105,2C_miss0.10_seed2,2C,0.1,2
2025-04,0.0597437637330313,1.6395863064858696,1.7407006796197646,-0.29866447363703963,80.0,16,6.156450036807892,-29.866447363703962,2C_miss0.10_seed2,2C,0.1,2
2025-05,0.15572403987271105,1.7405266182550159,2.0340151815312084,-0.1832302899512691,48.0,12,16.850369816338272,-18.32302899512691,2C_miss0.10_seed2,2C,0.1,2
2025-06,0.1099676830185182,2.033811790182792,2.2704531667451344,-0.189878961383118,48.0,12,11.624199630404686,-18.9878961383118,2C_miss0.10_seed2,2C,0.1,2
2025-07,0.06175834900029551,2.2702261327803477,2.4150929947281807,-0.07776330786023644,32.4,14,6.370526822643008,-7.776330786023644,2C_miss0.10_seed2,2C,0.1,2
2025-08,0.06961856147445404,2.4148514975037703,2.5892191790061396,-0.11703625437912601,32.2,12,7.209916332747945,-11.703625437912601,2C_miss0.10_seed2,2C,0.1,2
2025-09,0.06096690130992875,2.5889602700339034,2.7519871652805743,-0.10304057197571681,32.0,10,6.286373420766633,-10.30405719757168,2C_miss0.10_seed2,2C,0.1,2
2025-10,0.10766692851280012,2.7517119803235235,3.0648241212657616,-0.16367949459973374,51.9,16,11.367674963458319,-16.367949459973374,2C_miss0.10_seed2,2C,0.1,2
2025-11,0.1999853625446237,3.0648241212657616,3.7433298417652825,-0.10943085137802333,36.2,14,22.138488006264613,-10.943085137802333,2C_miss0.10_seed2,2C,0.1,2
2025-12,0.17030175358101537,3.7429555274971316,4.438326100285096,-0.11251118499351631,32.2,12,18.56625752733738,-11.25111849935163,2C_miss0.10_seed2,2C,0.1,2
2026-01,0.12306737575247266,4.437882289865958,5.019572027946612,-0.20989094466236902,68.3,13,13.096061770318833,-20.989094466236903,2C_miss0.10_seed2,2C,0.1,2
2026-02,0.2121468577173961,5.015767776229097,6.20584465560803,-0.2448448540023982,60.1,11,23.632943626604042,-24.48448540023982,2C_miss0.10_seed2,2C,0.1,2
2026-03,0.21519256122296213,6.205224102170658,7.695872110852657,-0.2930620455631566,36.0,12,24.010066927765216,-29.306204556315663,2C_miss0.10_seed2,2C,0.1,2
2026-04,0.18975958475467902,7.695102562119648,9.303993162966922,-0.10976479288804175,36.0,12,20.895891056278117,-10.976479288804175,2C_miss0.10_seed2,2C,0.1,2
2026-05,0.13478868441482109,9.303062810169038,10.646512404646977,-0.09511809544962602,32.2,12,14.429495144340155,-9.511809544962603,2C_miss0.10_seed2,2C,0.1,2
2026-06,0.3605843018703372,10.645447806637296,15.2688784203248,-0.22315032565202186,54.7,12,43.41671563412874,-22.315032565202188,2C_miss0.10_seed2,2C,0.1,2
2025-01,0.06475074647824985,1.0,1.0668930643862073,-0.17632535000151917,50.2,12,6.689306438620735,-17.63253500015192,2C_miss0.10_seed3,2C,0.1,3
2025-02,0.10255935438652852,1.0667863804140563,1.182120785154113,-0.06766700206675302,20.3,13,10.800306480031029,-6.766700206675303,2C_miss0.10_seed3,2C,0.1,3
2025-03,0.349435838202442,1.1816806326685925,1.6765631250062527,-0.28765916954931936,65.9,11,41.8267190681094,-28.765916954931935,2C_miss0.10_seed3,2C,0.1,3
2025-04,0.06632843698207498,1.676395477076288,1.79153783380962,-0.29403117070591434,80.0,16,6.857761994672207,-29.403117070591435,2C_miss0.10_seed3,2C,0.1,3
2025-05,0.16267498321787036,1.7913586889836297,2.1080205079633663,-0.17783438264389473,48.0,12,17.665419517307136,-17.783438264389474,2C_miss0.10_seed3,2C,0.1,3
2025-06,0.08951214105907276,2.107809716452321,2.305416836723811,-0.1818380999138246,48.0,12,9.364061118701162,-18.18380999138246,2C_miss0.10_seed3,2C,0.1,3
2025-07,0.03693455632316932,2.3051863065668385,2.392158404826737,-0.07525493122970284,32.4,14,3.7625112613558054,-7.525493122970284,2C_miss0.10_seed3,2C,0.1,3
2025-08,0.07644537180282199,2.3919192009466475,2.5821991729053315,-0.11463469559925898,32.0,10,7.944322068937515,-11.463469559925898,2C_miss0.10_seed3,2C,0.1,3
2025-09,0.05976242129193255,2.5819409658986063,2.7412221188721464,-0.09907741332517783,32.2,12,6.1584306755040785,-9.907741332517784,2C_miss0.10_seed3,2C,0.1,3
2025-10,0.110937994701911,2.740948010365913,3.062837716131035,-0.16468621952538987,51.9,16,11.732562459813135,-16.468621952538985,2C_miss0.10_seed3,2C,0.1,3
2025-11,0.2007646907445535,3.0625314476731,3.743820204615082,-0.11029456021388451,36.2,14,22.23371107445633,-11.029456021388452,2C_miss0.10_seed3,2C,0.1,3
2025-12,0.17712696389679003,3.7434458413130978,4.469307607995316,-0.11251118499351631,32.2,12,19.37826508030249,-11.25111849935163,2C_miss0.10_seed3,2C,0.1,3
2026-01,0.09700419896033824,4.4688606995803095,4.924573628818878,-0.2098909446623689,68.3,13,10.186500029873136,-20.989094466236892,2C_miss0.10_seed3,2C,0.1,3
2026-02,0.2631938285798733,4.88211987926775,6.407258745325107,-0.24137990016207556,60.1,11,30.107888078461542,-24.137990016207556,2C_miss0.10_seed3,2C,0.1,3
2026-03,0.21238560070368967,6.4066180514858,7.923374016801627,-0.2898183314825755,36.0,12,23.662463648478592,-28.98183314825755,2C_miss0.10_seed3,2C,0.1,3
2026-04,0.18975958475467902,7.922581719015494,9.579033619333945,-0.10818683863516498,36.0,12,20.895891056278117,-10.818683863516497,2C_miss0.10_seed3,2C,0.1,3
